Depth (m),uncorrected [CH4] (ppb),corrected [CH4] (ppb)
1498.98,657.3,657.5
1499.11,639.1,640.0
1499.25,650.5,651.0
1499.4,650.9,651.7
1499.53,645.1,646.5
1499.8,657.8,658.9
1499.95,643.1,644.4
1499.95,649.1,650.7
1500.08,645.6,644.4
1500.08,661.5,660.5
1500.21,659.7,659.1
1500.35,657.4,657.3
1500.5,654.8,654.3
1500.63,639.7,638.8
1500.76,658.7,658.3
1500.9,658.3,657.3
1501.05,665.6,664.1
1501.18,649.5,648.2
1501.31,653.6,652.2
1501.45,650.7,650.1
1501.59,649.8,649.7
1501.72,648.9,648.3
1501.85,645.2,645.2
1502,644.5,645.1
1502.15,641.2,641.6
1502.28,635.6,634.7
1502.41,636.9,636.4
1502.55,638.5,638.0
1502.7,630.4,630.8
1502.83,632.2,632.6
1502.96,622.4,622.5
1503.085,623.6,623.7
1503.25,626.6,626.4
1503.25,624.5,624.5
1503.38,623.1,622.8
1503.51,615.5,616.8
1503.51,613.4,614.9
1503.65,608.4,610.5
1503.8,599.3,602.6
1503.93,593.9,596.5
1504.06,588.1,588.6
1504.2,594.7,598.3
1504.35,595.0,594.5
1504.48,566.0,567.4
1504.61,582.7,583.3
1504.75,554.5,554.6
1504.8425,545.9,548.2
1504.9,561.8,562.6
1504.9275,557.9,559.4
1505.03,545.0,547.1
1505.055,528.0,531.7
1505.1375,543.5,544.9
1505.16,543.1,543.8
1505.2225,537.9,540.9
1505.3,535.1,536.7
1505.305,533.0,535.2
1505.385,511.0,513.2
1505.45,531.6,532.0
1505.4825,525.4,527.1
1505.58,510.2,511.3
1505.585,486.2,488.6
1505.6525,505.5,506.8
1505.71,508.4,508.9
1505.7575,504.6,506.8
1505.85,509.0,508.5
1506,509.3,509.2
1506,499.7,499.7
1506.13,499.5,500.8
1506.26,502.7,503.9
1506.4,500.3,501.2
1506.55,499.3,500.3
1506.68,499.0,499.0
1506.81,496.1,497.3
1506.95,492.0,493.5
1507.1,491.9,492.2
1507.23,486.1,487.5
1507.36,491.0,492.5
1507.5,497.9,500.2
1507.65,494.2,496.6
1507.78,490.8,492.5
1507.91,490.9,493.8
1508.05,494.2,496.5
1508.2,493.5,497.6
1508.305,496.2,499.7
1508.46,489.9,494.3
1508.6,487.4,491.8
1508.75,485.8,488.4
1508.9,491.3,492.4
1509.03,484.6,487.1
1509.16,482.5,483.0
1509.3,485.3,486.6
1509.43,495.6,496.9
1509.43,482.7,484.1
1509.56,497.4,501.5
1509.7,493.8,497.6
1509.7,487.1,491.0
1509.85,488.2,489.9
1509.98,484.1,484.2
1510.11,485.3,486.1
1510.25,478.9,482.9
1510.4,483.9,486.0
1510.53,484.0,486.6
1510.66,483.4,487.4
1510.8,477.5,479.9
1510.94,498.3,498.9
1511.07,483.5,486.3
1511.2,486.8,487.3
1511.345,477.7,480.2
1512.54,482.8,487.1
1513.095,482.5,487.0
1513.645,489.2,492.8
1513.705,486.6,490.1
1514.195,484.1,488.2
1514.745,489.1,492.7
1515.295,489.2,492.9
1515.905,484.9,488.6
1516.395,480.9,484.3
1516.945,471.0,473.7
1518.105,465.5,469.7
1518.595,461.8,467.1
1519.145,461.5,471.1
1519.695,456.7,461.2
1520.305,470.5,472.9
1520.795,454.4,459.8
1521.345,451.9,458.0
1521.895,462.6,467.5
1522.505,474.6,477.4
1522.995,467.3,474.1
1523.545,476.6,481.2
1524.095,443.2,448.5
1524.705,452.8,460.3
1525.195,456.0,462.9
1525.745,450.3,458.5
1526.305,443.5,450.9
1526.905,435.9,442.6
1527.945,447.5,451.6
1528.495,446.3,447.8
1529.045,434.5,438.5
1529.105,438.9,439.8
1529.605,432.3,434.9
1530.145,429.2,430.7
1530.695,428.2,429.5
1531.305,436.7,437.5
1531.795,425.5,428.9
1532.345,430.5,435.0
1533.505,419.8,423.6
1533.995,413.0,415.6
1534.545,416.0,421.6
1535.095,418.1,421.4
1535.705,421.3,422.9
1536.195,414.3,416.7
1536.745,411.0,413.2
1537.295,406.2,408.8
1537.905,402.8,404.0
1538.385,402.2,405.1
1538.945,398.5,401.3
1539.495,400.4,404.5
1540.105,397.0,399.4
1540.595,398.7,401.4
1541.145,381.0,382.2
1541.74,386.7,388.1
1542.245,388.6,389.9
1542.305,389.1,389.7
1542.795,400.5,401.9
1543.345,388.7,391.6
1543.895,396.5,397.8
1544.505,396.7,398.6
1544.995,394.0,397.6
1545.545,391.1,394.5
1546.095,402.5,405.2
1546.705,385.7,389.1
1547.195,384.3,387.6
1547.745,395.9,399.3
1548.295,385.8,387.6
1548.905,380.7,381.7
1549.395,390.4,393.6
1549.945,384.0,387.2
1550.495,382.9,388.4
1551.105,390.3,391.3
1551.595,388.9,391.0
1552.145,388.3,389.0
1552.695,391.2,391.8
1553.245,402.3,404.7
1553.305,386.1,387.9
1553.795,389.0,392.8
1554.345,392.0,394.9
1554.895,392.3,394.6
1555.505,389.5,389.4
1555.995,386.5,389.9
1556.545,397.7,401.3
1557.095,383.2,387.2
1557.705,382.2,385.2
