%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=213076, 2025/08/27 12:50:8.77)
1 18  2.249008330222374934e+04 0 0 5.552545e-01 1.296287e+00 1.038768e+02 1.297118e+00 3.402460e+01 -6.338140e+03 -3.576012e+01 -6.611363e-02 -1.140586e+01 1.140819e+03 6.320460e+00 1.709489e-03 1.192395e+03 7.731946e-01 -5.626116e+00 -3.349610e+00 -1.192158e-01 2.603751e+00 3.448517e+00 -1.289059e+01 9.224685e-01 -5.588010e-01 -2.119430e-02 -1.850927e-02 -1.314079e+00 1.019477e+01 1.314738e+01 -5.583246e-01 2.647094e-01 -1.254743e+00 6.983686e-02 5.586638e+00 9.641821e+00 -1.135086e+00 7.223207e+00 5.575839e+00 -1.411984e+00 4.237259e-01 2.874585e+00 1.671916e+00 5.457259e+00 1.410521e+00 -5.596385e+00 5.997591e+00 -1.605327e-01 5.628792e-01 -3.683190e-01 2.759155e+00 -4.039594e+00 6.657587e+00 5.896848e+00 -1.712518e+00 1.145754e+00 -2.464429e+00 -2.251583e+00 -2.389447e+00 2.948423e+00 -1.256496e+00 1.994237e-01 3.527764e+00 -3.317744e-01 -1.428089e+00 5.473701e+02 4.644557e+02 -4.884587e+01 -4.686536e+01 7.108440e+02 1.544779e+02 -3.502185e+01 -7.733115e+01 7.185374e+00 1.021289e+01 3.208139e+01 2.876433e+01 3.470932e+02 3.176025e+02 -4.566441e+01 -4.677462e+01 7.057891e+01 4.742709e+02 -1.109309e+02 -3.336651e+01 6.275798e+00 9.469025e+00 1.819583e+01 2.736245e+01 
2 35  4.243356615765773313e+04 0 0 5.359367e-01 1.271889e+00 1.042249e+02 1.247794e+00 3.755989e+01 -6.317111e+03 -3.462071e+01 -6.530040e-02 -9.777331e+00 1.286054e+03 5.903500e+00 1.675513e-03 1.229348e+03 7.814621e-01 -5.549446e+00 -3.340488e+00 -8.150112e-02 2.590286e+00 3.440510e+00 -1.291458e+01 9.237738e-01 -5.538735e-01 -2.737195e-02 -1.055645e-02 -1.355501e+00 1.011973e+01 1.313415e+01 -6.150246e-01 3.393940e-01 -1.277522e+00 1.401088e-01 5.649294e+00 9.695205e+00 -1.195671e+00 7.169262e+00 5.623351e+00 -1.487541e+00 4.004909e-01 2.807713e+00 1.542544e+00 5.440697e+00 1.506531e+00 -5.581595e+00 5.893453e+00 -1.392861e-01 5.860411e-01 -3.426251e-01 2.666897e+00 -4.110666e+00 6.689381e+00 5.953864e+00 -1.725121e+00 1.071601e+00 -2.467503e+00 -2.249052e+00 -2.432093e+00 2.959357e+00 -1.348428e+00 1.367365e-01 3.526671e+00 -4.330459e-01 -1.402361e+00 5.717037e+02 4.248140e+02 -4.953822e+01 -4.572839e+01 7.089085e+02 1.463128e+02 -3.324844e+01 -8.501176e+01 7.269921e+00 9.452548e+00 3.331536e+01 2.952011e+01 3.202246e+02 3.639219e+02 -4.618616e+01 -4.789089e+01 5.360297e+01 4.756208e+02 -1.047558e+02 -2.899740e+01 6.711606e+00 1.103499e+01 1.779700e+01 2.739423e+01 
3 52  1.008447800822121091e+06 0 0 5.465452e-01 1.300478e+00 1.076104e+02 1.313121e+00 3.718504e+01 -6.316969e+03 -3.469172e+01 -6.523729e-02 -1.051197e+01 1.180443e+03 6.566841e+00 1.644412e-03 1.324191e+03 7.965505e-01 -5.644388e+00 -3.256083e+00 -6.560125e-02 2.559263e+00 3.446826e+00 -1.288753e+01 8.994059e-01 -5.972415e-01 8.721368e-03 -1.911744e-02 -1.366979e+00 1.005356e+01 1.321127e+01 -5.367901e-01 2.868100e-01 -1.199445e+00 5.233002e-02 5.583892e+00 9.689888e+00 -1.108757e+00 7.192792e+00 5.586123e+00 -1.473229e+00 3.336165e-01 2.799488e+00 1.630431e+00 5.467881e+00 1.442367e+00 -5.542744e+00 5.903035e+00 -9.207910e-02 5.968659e-01 -4.378200e-01 2.669680e+00 -4.143148e+00 6.567570e+00 5.950356e+00 -1.683050e+00 1.062910e+00 -2.556454e+00 -2.309592e+00 -2.296581e+00 3.022294e+00 -1.390755e+00 1.718615e-01 3.553161e+00 -3.425135e-01 -1.389811e+00 5.990633e+02 4.778508e+02 -5.166180e+01 -4.490458e+01 6.871250e+02 1.258937e+02 -3.952452e+01 -8.065132e+01 6.789008e+00 9.967377e+00 3.265860e+01 2.838123e+01 3.164447e+02 3.406177e+02 -4.418666e+01 -5.112930e+01 4.942242e+01 4.472116e+02 -1.001204e+02 -2.938565e+01 6.522719e+00 1.042111e+01 1.787669e+01 2.861714e+01 
4 69  5.146674956808419665e+04 0 0 5.448801e-01 1.270646e+00 1.029849e+02 1.250922e+00 3.592422e+01 -6.342482e+03 -3.522431e+01 -6.942572e-02 -1.163720e+01 1.157639e+03 5.651084e+00 1.601649e-03 1.272773e+03 7.389770e-01 -5.579987e+00 -3.203809e+00 -1.357008e-01 2.614111e+00 3.505095e+00 -1.296427e+01 9.535603e-01 -5.597725e-01 6.834110e-02 -1.623417e-03 -1.354007e+00 1.012774e+01 1.326312e+01 -6.366391e-01 3.016910e-01 -1.193734e+00 3.779580e-02 5.577630e+00 9.621159e+00 -1.086911e+00 7.143115e+00 5.664651e+00 -1.430040e+00 4.160784e-01 2.783444e+00 1.576719e+00 5.508887e+00 1.408497e+00 -5.550993e+00 5.984997e+00 -1.695751e-01 5.851007e-01 -3.791188e-01 2.717874e+00 -4.109937e+00 6.527255e+00 5.946789e+00 -1.821467e+00 1.079056e+00 -2.423342e+00 -2.299555e+00 -2.392548e+00 3.010967e+00 -1.418018e+00 2.829671e-01 3.517914e+00 -3.769718e-01 -1.424907e+00 5.702854e+02 4.228003e+02 -4.803887e+01 -4.681607e+01 7.199158e+02 1.154734e+02 -3.565565e+01 -8.670929e+01 6.812102e+00 9.514310e+00 3.207770e+01 2.836581e+01 3.155633e+02 3.258213e+02 -4.530485e+01 -4.906375e+01 2.635324e+01 4.626211e+02 -9.844786e+01 -4.234173e+01 6.508978e+00 1.024369e+01 1.766512e+01 2.782093e+01 
5 86  9.611842739983563661e+03 0 0 5.479823e-01 1.364340e+00 1.060522e+02 1.257916e+00 3.683889e+01 -6.310059e+03 -3.546172e+01 -7.370196e-02 -1.344543e+01 1.253897e+03 5.942630e+00 1.617661e-03 1.221132e+03 7.855992e-01 -5.627511e+00 -3.305628e+00 -1.260339e-01 2.610524e+00 3.423244e+00 -1.290427e+01 1.018102e+00 -5.322741e-01 4.341374e-02 4.969041e-02 -1.333575e+00 1.006039e+01 1.322740e+01 -5.576627e-01 3.580164e-01 -1.209278e+00 6.105896e-02 5.552133e+00 9.590149e+00 -1.057847e+00 7.096158e+00 5.630325e+00 -1.419283e+00 4.079827e-01 2.767952e+00 1.655169e+00 5.424547e+00 1.462733e+00 -5.549711e+00 5.934624e+00 -1.713355e-01 6.604894e-01 -3.983117e-01 2.694403e+00 -4.150910e+00 6.637643e+00 5.897766e+00 -1.740672e+00 1.067128e+00 -2.429198e+00 -2.259556e+00 -2.402301e+00 2.964500e+00 -1.397292e+00 1.868447e-01 3.504684e+00 -3.158649e-01 -1.381310e+00 5.703357e+02 4.526104e+02 -4.502997e+01 -4.908898e+01 7.020655e+02 1.515356e+02 -3.103332e+01 -8.137367e+01 6.900021e+00 8.799544e+00 3.359177e+01 2.909412e+01 3.398838e+02 3.110411e+02 -4.619752e+01 -4.671156e+01 6.853307e+01 4.419934e+02 -9.682686e+01 -4.660744e+01 6.208076e+00 1.156220e+01 1.671011e+01 2.902841e+01 
6 103  7.596546499313264576e+03 0 0 5.537865e-01 1.346231e+00 1.043589e+02 1.182004e+00 3.769442e+01 -6.335729e+03 -3.539141e+01 -6.051453e-02 -1.435749e+01 1.217308e+03 5.615270e+00 1.561747e-03 1.282600e+03 7.272394e-01 -5.599266e+00 -3.324121e+00 -1.054999e-01 2.627773e+00 3.406174e+00 -1.293345e+01 9.103220e-01 -6.087670e-01 -2.045629e-02 4.693602e-02 -1.364448e+00 1.011676e+01 1.323274e+01 -6.155759e-01 3.489475e-01 -1.207363e+00 4.504779e-02 5.581003e+00 9.680193e+00 -1.190837e+00 7.207618e+00 5.489958e+00 -1.451222e+00 3.820593e-01 2.743976e+00 1.677990e+00 5.445939e+00 1.345263e+00 -5.568518e+00 5.972118e+00 -1.359390e-01 6.612756e-01 -3.651471e-01 2.728974e+00 -4.191361e+00 6.644015e+00 5.944225e+00 -1.775150e+00 1.014674e+00 -2.443285e+00 -2.363544e+00 -2.339324e+00 2.964235e+00 -1.428885e+00 2.270996e-01 3.557724e+00 -2.833223e-01 -1.451079e+00 5.466482e+02 3.998484e+02 -4.882107e+01 -4.917213e+01 7.286081e+02 1.586934e+02 -4.053240e+01 -7.515545e+01 6.981092e+00 9.487589e+00 3.371869e+01 2.851721e+01 3.198044e+02 3.393710e+02 -4.888663e+01 -4.890216e+01 8.035377e+01 4.600043e+02 -9.750650e+01 -4.006475e+01 6.487710e+00 1.039274e+01 1.755413e+01 2.806001e+01 
7 120  1.298897345121642866e+04 0 0 5.523189e-01 1.422746e+00 1.055912e+02 1.241821e+00 3.763139e+01 -6.292155e+03 -3.561266e+01 -7.315775e-02 -1.242106e+01 1.183999e+03 5.764268e+00 1.700482e-03 1.213130e+03 7.689568e-01 -5.600805e+00 -3.311098e+00 -5.677979e-02 2.635049e+00 3.455806e+00 -1.292479e+01 9.615777e-01 -5.316363e-01 -6.353947e-04 -1.633187e-02 -1.342252e+00 1.011504e+01 1.314589e+01 -5.590492e-01 3.069099e-01 -1.253631e+00 5.203220e-02 5.595443e+00 9.669317e+00 -1.126469e+00 7.190049e+00 5.602952e+00 -1.475847e+00 3.861981e-01 2.780179e+00 1.591960e+00 5.413393e+00 1.375555e+00 -5.594280e+00 5.982733e+00 -1.913889e-01 6.150689e-01 -3.887053e-01 2.710400e+00 -4.145086e+00 6.641202e+00 5.933850e+00 -1.773941e+00 9.933106e-01 -2.409743e+00 -2.330339e+00 -2.401080e+00 3.082743e+00 -1.340803e+00 1.816957e-01 3.493709e+00 -2.508911e-01 -1.458799e+00 5.108380e+02 4.288253e+02 -4.638550e+01 -4.764245e+01 7.445711e+02 1.627303e+02 -3.647924e+01 -7.930839e+01 6.523389e+00 1.024500e+01 3.384100e+01 2.830918e+01 3.631487e+02 3.851184e+02 -4.788686e+01 -4.782279e+01 7.818377e+01 4.780588e+02 -9.804798e+01 -4.628905e+01 6.821387e+00 1.045887e+01 1.687840e+01 2.845893e+01 
8 137  1.107030280612634124e+04 0 0 5.649953e-01 1.342711e+00 1.068301e+02 1.259362e+00 3.808194e+01 -6.316857e+03 -3.516461e+01 -6.793564e-02 -1.373064e+01 1.163012e+03 5.949678e+00 1.730890e-03 1.235579e+03 7.855690e-01 -5.534617e+00 -3.257030e+00 -7.337111e-02 2.685098e+00 3.492510e+00 -1.293727e+01 9.353657e-01 -6.438547e-01 4.065811e-02 -2.716109e-02 -1.425784e+00 1.006476e+01 1.325175e+01 -5.360553e-01 3.023838e-01 -1.235684e+00 8.243684e-02 5.657380e+00 9.639562e+00 -1.109740e+00 7.214791e+00 5.647983e+00 -1.452637e+00 3.843299e-01 2.772930e+00 1.645480e+00 5.421666e+00 1.421413e+00 -5.569892e+00 5.920779e+00 -1.964010e-01 6.820097e-01 -5.072021e-01 2.738662e+00 -4.088244e+00 6.601244e+00 5.944915e+00 -1.866266e+00 9.799721e-01 -2.485667e+00 -2.394530e+00 -2.357505e+00 2.925609e+00 -1.407267e+00 2.483475e-01 3.524151e+00 -2.257142e-01 -1.519617e+00 5.413620e+02 4.295502e+02 -4.742791e+01 -4.869826e+01 7.085542e+02 1.502743e+02 -4.050459e+01 -7.816550e+01 6.803784e+00 9.514770e+00 3.169024e+01 2.738250e+01 3.398689e+02 3.523921e+02 -4.806588e+01 -4.894844e+01 7.975548e+01 4.710510e+02 -9.799601e+01 -3.231300e+01 7.614214e+00 1.072914e+01 1.737720e+01 2.876740e+01 
9 154  1.348296320993606605e+04 0 0 5.663037e-01 1.347801e+00 1.083592e+02 1.194935e+00 3.810353e+01 -6.287322e+03 -3.467015e+01 -6.941709e-02 -1.150101e+01 1.184654e+03 5.710106e+00 1.801848e-03 1.283497e+03 6.883176e-01 -5.598526e+00 -3.275929e+00 -4.250353e-02 2.678806e+00 3.516637e+00 -1.296594e+01 9.267013e-01 -5.389949e-01 4.381812e-02 6.897582e-03 -1.355487e+00 1.009522e+01 1.323106e+01 -5.139419e-01 3.032738e-01 -1.197865e+00 4.943171e-02 5.562697e+00 9.636351e+00 -1.083034e+00 7.225997e+00 5.577943e+00 -1.478585e+00 3.949570e-01 2.779399e+00 1.604047e+00 5.371044e+00 1.419634e+00 -5.593073e+00 5.997374e+00 -2.732921e-01 7.049665e-01 -4.176007e-01 2.744653e+00 -4.104449e+00 6.625276e+00 5.974205e+00 -1.929220e+00 1.026472e+00 -2.481419e+00 -2.410074e+00 -2.414335e+00 3.001862e+00 -1.471279e+00 2.496274e-01 3.559315e+00 -2.753584e-01 -1.592077e+00 5.113103e+02 4.393973e+02 -4.827628e+01 -4.742737e+01 7.184768e+02 1.597699e+02 -3.378053e+01 -8.433290e+01 6.671166e+00 9.451146e+00 3.068675e+01 2.901274e+01 3.215974e+02 3.711829e+02 -4.848748e+01 -4.719728e+01 6.434185e+01 4.566032e+02 -1.007060e+02 -4.129608e+01 7.081336e+00 1.081945e+01 1.721195e+01 2.877688e+01 
10 171  1.021083806533491406e+04 0 0 5.458427e-01 1.343930e+00 1.046099e+02 1.214040e+00 3.545298e+01 -6.323987e+03 -3.491420e+01 -6.980764e-02 -1.360218e+01 1.215032e+03 5.979983e+00 1.653404e-03 1.175489e+03 7.505164e-01 -5.623188e+00 -3.373727e+00 -5.720735e-02 2.651657e+00 3.491087e+00 -1.297178e+01 8.914455e-01 -5.748142e-01 5.353532e-02 -4.426691e-02 -1.341105e+00 9.944939e+00 1.325011e+01 -5.067269e-01 2.914571e-01 -1.216863e+00 5.329122e-02 5.620692e+00 9.624161e+00 -1.036049e+00 7.279115e+00 5.597112e+00 -1.492768e+00 3.241385e-01 2.795787e+00 1.617515e+00 5.454742e+00 1.364004e+00 -5.594983e+00 5.967470e+00 -2.034971e-01 6.650200e-01 -4.670875e-01 2.752174e+00 -4.125703e+00 6.517273e+00 6.008097e+00 -1.864208e+00 1.043515e+00 -2.464839e+00 -2.289725e+00 -2.329667e+00 3.006026e+00 -1.403534e+00 2.643975e-01 3.517310e+00 -2.642707e-01 -1.442505e+00 5.325122e+02 4.297751e+02 -4.684895e+01 -4.521462e+01 7.327478e+02 1.512591e+02 -3.163747e+01 -8.037710e+01 7.147473e+00 9.141057e+00 3.073940e+01 2.918415e+01 3.795162e+02 3.782622e+02 -4.706685e+01 -4.576229e+01 8.969618e+01 4.314027e+02 -1.043885e+02 -3.920576e+01 6.739792e+00 1.023485e+01 1.741527e+01 3.004604e+01 
