%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=216421, 2025/11/16 16:43:53.21)
1 17 7.866065e+01 2.026451e+04  1.058987064833066426e+06  1.058987064833066426e+06  2.071504875278692227e+06  2.107820490180819761e+06
2 33 7.579685e+01 2.020970e+04  1.058987064833066426e+06  1.059276857360264054e+06  2.051709761083955411e+06  2.098661476331443992e+06
3 49 7.387838e+01 2.016985e+04  1.042995545239444240e+06  1.042995545239444240e+06  1.075058163795220200e+06  2.073814488432594109e+06
4 65 7.203611e+01 2.009713e+04  1.033387776677221875e+06  1.033387776677221875e+06  2.044897783424419817e+06  2.084487252467533108e+06
5 81 7.043428e+01 1.966987e+04  1.025164493307069642e+06  1.025164493307069642e+06  1.059755227764610667e+06  2.058183542166134575e+06
6 97 6.935620e+01 1.981346e+04  1.020812694547156105e+06  1.020812694547156105e+06  1.045780647006549872e+06  2.049091707535503898e+06
7 113 6.844800e+01 1.969266e+04  1.019438930456837639e+06  1.019438930456837639e+06  2.018045104869233444e+06  2.027043337106723804e+06
8 129 6.805437e+01 1.996477e+04  1.016475314246664173e+06  1.016475314246664173e+06  1.024381767286160262e+06  2.036260380843125284e+06
9 145 6.753375e+01 2.026119e+04  1.012545125294350553e+06  1.012545125294350553e+06  2.015753524761499604e+06  2.021445021089018788e+06
10 161 6.694847e+01 2.025187e+04  1.011713760811986984e+06  1.011713760811986984e+06  1.022249119935078197e+06  2.021963661707929801e+06
11 177 6.644056e+01 1.990380e+04  1.011713760811986984e+06  1.012571294811034575e+06  1.529846837088117842e+06  2.026502092386448290e+06
12 193 6.558232e+01 2.020975e+04  1.011713760811986984e+06  1.012352567237363080e+06  1.023951962342657382e+06  2.028658878996638115e+06
13 209 6.469353e+01 2.017152e+04  1.011650069376639323e+06  1.011650069376639323e+06  1.057653689443428535e+06  2.045492953378382605e+06
14 225 6.396669e+01 2.033674e+04  1.011122687645650585e+06  1.011122687645650585e+06  1.020479950912365573e+06  2.096008584896062501e+06
15 241 6.385243e+01 2.038001e+04  1.011122687645650585e+06  1.011551543044407968e+06  1.014255575704692747e+06  2.028841815413142322e+06
16 257 6.333834e+01 2.066541e+04  1.011122687645650585e+06  1.011289449838564615e+06  1.013647707511714310e+06  2.019112878408260178e+06
17 273 6.342461e+01 2.065696e+04  1.011046627158803749e+06  1.011046627158803749e+06  1.016426453588641714e+06  2.013288215041184332e+06
18 289 6.364499e+01 2.045085e+04  1.010531069449062226e+06  1.010531069449062226e+06  1.015294972938179504e+06  2.015510490579266567e+06
19 305 6.349400e+01 2.049800e+04  1.010531069449062226e+06  1.010769082358709886e+06  1.014383452547550085e+06  2.013814435934881447e+06
20 321 6.310648e+01 2.030501e+04  1.010369464310273528e+06  1.010369464310273528e+06  1.015055331157631706e+06  2.017515946413038764e+06
21 337 6.284664e+01 2.002722e+04  1.010369464310273528e+06  1.010775391136687016e+06  1.018599891601079842e+06  2.030126777214924572e+06
22 353 6.259205e+01 2.071319e+04  1.010369464310273528e+06  1.011057608350515482e+06  1.016252883942531189e+06  2.024168948728602147e+06
23 369 6.250484e+01 2.086999e+04  1.010369464310273528e+06  1.011509062336431933e+06  1.017735994525420945e+06  2.016225535136203747e+06
24 385 6.288869e+01 2.129531e+04  1.010369464310273528e+06  1.011472943827485200e+06  1.016736968742346973e+06  2.032994995585321216e+06
25 401 6.310710e+01 2.134084e+04  1.010345042970941402e+06  1.010345042970941402e+06  1.017658881689846632e+06  2.020647882312841248e+06
26 417 6.296121e+01 2.138990e+04  1.249268718859435103e+04  1.249268718859435103e+04  1.016858108906645677e+06  2.019889898185499245e+06
27 433 6.282952e+01 2.137885e+04  1.102595584326152857e+04  1.102595584326152857e+04  1.014052264593620435e+06  2.022373872477044351e+06
28 449 6.331326e+01 2.123597e+04  1.102595584326152857e+04  1.150761736647332873e+04  1.025679071131824981e+06  2.084813760544547578e+06
29 465 6.341756e+01 2.054304e+04  1.102595584326152857e+04  2.193577811574229054e+04  1.014353684543493669e+06  2.011747437378685456e+06
30 481 6.295738e+01 2.053920e+04  1.102595584326152857e+04  2.297418408053643725e+04  1.017216569651587750e+06  2.018567038592982804e+06
31 497 6.213942e+01 2.067286e+04  1.102595584326152857e+04  1.163913917132437746e+04  1.016014120835632551e+06  1.079594406897448236e+06
32 513 6.171904e+01 2.064030e+04  1.102595584326152857e+04  1.328487590231982176e+04  1.022839266017884947e+06  2.044833196276340866e+06
33 529 6.162888e+01 2.040767e+04  1.102595584326152857e+04  1.327829351760621103e+04  1.013477828239468392e+06  2.038913603698148392e+06
34 545 6.172602e+01 2.040066e+04  1.102595584326152857e+04  1.448927158057123233e+04  1.013852224872729741e+06  2.015929021033320576e+06
35 561 6.153840e+01 2.020209e+04  1.102595584326152857e+04  1.357303765097646465e+04  1.014901274933039444e+06  2.012778601077788044e+06
