Depth (m),[CH4] (ppb)
2444.344,382.3
2445.341,382.3
2446.344,384.4
2447.343,381.9
2449.399,380.3
2449.419,387.6
2449.444,381.7
2450.3,379.3
2450.345,383.7
2451.342,382.1
2452.292,375.6
2452.317,382.9
2452.342,381.9
2454.302,380.6
2454.347,383.7
2455.347,375.9
2456.347,376.8
2457.348,374.2
2459.281,374.0
2460.35,372.0
2461.304,369.8
2461.349,371.9
2462.347,376.3
2464.301,375.4
2464.346,374.7
2465.344,374.7
2466.303,373.9
2466.348,375.5
2467.348,376.7
2469.276,379.9
2470.35,375.1
2471.399,372.7
2472.524,378.0
2474.306,371.7
2474.351,375.6
2475.351,371.5
2476.352,372.6
2477.306,369.3
2477.351,373.5
2478.307,370.7
2479.301,376.9
2480.352,377.4
2481.349,376.3
2482.343,375.1
2484.351,371.4
2485.35,371.0
2486.348,373.3
2488.341,381.1
2489.349,385.6
2490.35,376.1
2491.299,377.4
2492.354,385.0
2494.349,380.7
2495.517,384.0
2496.348,384.6
2497.349,374.3
2499.349,370.9
2500.351,372.0
2501.3,370.4
2502.351,369.9
2504.351,373.0
2505.351,373.8
2506.352,372.7
2507.353,370.2
2509.304,368.8
2510.355,367.4
2511.355,365.9
2512.355,369.6
2514.357,373.3
2515.504,369.6
2516.358,372.6
2517.358,370.4
2519.36,365.2
2520.359,375.2
2521.361,377.3
2522.363,372.3
2524.363,368.8
2525.418,371.3
2526.365,372.6
2527.367,372.3
2529.367,366.9
2530.368,365.4
2531.368,360.6
2532.319,361.3
2534.369,370.1
2535.412,367.9
2536.371,367.9
2537.421,371.2
2539.37,370.8
2540.373,373.1
2541.373,372.3
2542.373,371.2
2544.375,375.0
2545.375,379.3
2546.376,379.5
2547.376,371.5
2549.377,369.1
2550.377,371.7
2551.377,372.0
2552.377,374.6
2554.376,370.3
2555.377,361.9
2557.377,361.7
2559.378,363.0
2560.377,368.1
2561.377,361.3
2562.379,362.6
2563.478,366.6
2564.946,359.9
2565.382,361.7
2566.382,362.1
2567.374,363.2
2568.361,366.8
2569.485,359.4
2570.479,357.2
2571.384,361.5
2572.386,361.4
2574.383,363.2
2575.358,364.5
2575.383,359.2
2576.384,360.6
2577.386,359.6
2579.386,367.6
2580.386,372.4
2581.387,364.8
2582.387,368.9
2584.362,369.8
2584.387,373.0
2584.387,368.6
2585.386,367.6
2586.364,370.3
2586.389,370.1
2587.438,377.9
2588.364,380.3
2589.39,381.4
2590.366,373.2
2590.391,378.4
2591.392,373.6
2592.367,372.0
2592.392,372.0
2595.028,380.4
2595.053,393.3
2595.368,377.3
2595.393,379.9
2596.368,388.2
2596.393,388.7
2597.394,386.0
2600.355,386.4
2602.356,385.4
2604.3,387.9
2606.677,389.3
2606.677,390.7
2608.358,395.4
2610.36,405.1
2612.363,387.8
2615.074,391.1
2616.365,381.7
2618.366,396.4
2618.366,393.6
2620.366,397.2
2620.366,398.8
2622.578,392.9
2624.368,397.3
2626.369,401.7
2628.557,397.5
